year,strain,G01,G02,G03,G04,G05,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25
1990,7F,17,24,63,19,36,33,60,20,24,15,74,46,82,61,73,45,35,31,17,25
1990,12H,2,2,15,2,2,4,4,1,3,3,6,10,14,9,9,9,6,6,11,4
1990,13H,18,28,59,11,39,28,46,35,30,19,75,45,80,53,61,50,41,22,28,29
1990,14H,12,23,58,9,28,18,38,14,29,8,68,41,65,54,53,39,18,21,12,17
1990,15H,19,22,69,9,38,22,40,35,23,15,52,27,52,56,46,45,31,25,18,16
1990,16G,19,24,75,17,43,33,58,29,28,11,71,42,70,61,67,46,35,27,18,21
1990,17G,11,15,13,5,26,31,46,22,21,10,61,40,69,64,52,45,31,30,15,30
1991,7F,17,9,23,12,19,18,23,14,9,22,21,7,13,15,15,31,19,24,18,41
1991,12H,7,7,13,4,9,10,12,11,5,12,8,11,6,5,8,17,8,15,9,20
1991,13H,11,7,14,5,16,14,13,9,4,11,8,11,6,10,9,8,9,14,8,11
1991,14H,35,15,31,12,39,20,34,24,17,60,22,20,23,16,12,68,30,73,37,72
1991,15H,16,8,19,5,19,12,15,11,7,23,7,12,11,10,6,49,11,29,14,36
1991,16G,15,6,14,3,11,11,20,9,7,6,7,9,11,6,11,28,12,16,8,14
1991,17G,22,16,30,13,30,27,28,14,11,44,25,16,17,17,17,63,26,60,37,57
1992,7F,1,1,6,1,2,5,1,1,4,1,4,3,4,1,4,25,1,6,4,2
1992,12H,1,1,5,1,3,1,1,1,1,1,3,2,2,2,6,1,1,1,2,1
1992,13H,7,1,28,13,23,14,19,15,18,2,36,27,28,21,28,7,4,6,8,2
1992,14H,19,1,53,25,45,26,17,20,42,12,30,31,44,26,47,28,8,17,21,10
1992,15H,2,1,15,2,14,2,5,1,10,5,9,4,19,4,16,6,1,4,6,2
1992,16G,1,1,5,1,4,3,1,1,6,2,3,1,4,1,4,19,1,14,2,1
1992,17G,1,1,5,3,1,2,1,1,3,3,2,1,3,2,3,25,1,16,3,1
1993,7F,6,2,49,7,32,17,2,12,4,2,30,16,8,10,22,35,27,6,5,15
1993,12H,8,3,48,11,47,13,17,17,15,2,11,36,24,25,20,14,48,4,13,13
1993,13H,2,1,20,2,5,18,8,4,6,2,6,7,5,8,4,7,15,4,3,3
1993,14H,10,4,41,8,19,14,5,10,2,7,5,5,13,15,11,25,14,10,7,12
1993,15H,3,1,39,9,7,8,4,4,8,1,11,15,12,11,28,12,33,5,5,11
1993,16G,13,5,62,17,59,27,6,37,23,6,59,36,28,54,46,48,55,19,23,24
1993,17G,3,1,24,3,12,8,5,9,4,2,7,10,4,6,19,27,14,5,3,12
