year, crop, percent
1996,HT corn,  3
1996,Bt corn,  1.4
1996,Bt cotton, 14.6
1996,HT cotton, 2.2
1996,HT soybeans, 7.4
1997,HT corn,  4.3
1997,Bt corn,  7.6
1997,Bt cotton, 15
1997,HT cotton, 10.5
1997,HT soybeans, 17
1998,HT corn,  9
1998,Bt corn,  19.1
1998,Bt cotton, 16.8
1998,HT cotton, 26.2
1998,HT soybeans, 44.2
1999,HT corn,  8
1999,Bt corn,  25.9
1999,Bt cotton, 32.3
1999,HT cotton, 42.1
1999,HT soybeans, 55.8
2000,HT corn,  7
2000,Bt corn,  19
2000,Bt cotton, 35
2000,HT cotton, 46
2000,HT soybeans, 54
2001,HT corn,  8
2001,Bt corn,  19
2001,Bt cotton, 37
2001,HT cotton, 56
2001,HT soybeans, 68
2002,HT corn,  11
2002,Bt corn,  24
2002,Bt cotton, 35
2002,HT cotton, 58
2002,HT soybeans, 75
2003,HT corn,  15
2003,Bt corn,  29
2003,Bt cotton, 41
2003,HT cotton, 59
2003,HT soybeans, 81
2004,HT corn,  20
2004,Bt corn,  33
2004,Bt cotton, 46
2004,HT cotton, 60
2004,HT soybeans, 85
2005,HT corn,  26
2005,Bt corn,  35
2005,Bt cotton, 52
2005,HT cotton, 61
2005,HT soybeans, 87
2006,HT corn,  36
2006,Bt corn,  40
2006,Bt cotton, 57
2006,HT cotton, 65
2006,HT soybeans, 89
2007,HT corn,  52
2007,Bt corn,  49
2007,Bt cotton, 59
2007,HT cotton, 70
2007,HT soybeans, 91
2008,HT corn,  63
2008,Bt corn,  57
2008,Bt cotton, 63
2008,HT cotton, 68
2008,HT soybeans, 92
2009,HT corn,  68
2009,Bt corn,  63
2009,Bt cotton, 65
2009,HT cotton, 71
2009,HT soybeans, 91
2010,HT corn,  70
2010,Bt corn,  63
2010,Bt cotton, 73
2010,HT cotton, 78
2010,HT soybeans, 93
2011,HT corn,  72
2011,Bt corn,  65
2011,Bt cotton, 75
2011,HT cotton, 73
2011,HT soybeans, 94
2012,HT corn,  73
2012,Bt corn,  67
2012,Bt cotton, 77
2012,HT cotton, 80
2012,HT soybeans, 93
2013,HT corn,  85
2013,Bt corn,  76
2013,Bt cotton, 75
2013,HT cotton, 82
2013,HT soybeans, 93
2014,HT corn,  89
2014,Bt corn,  80
2014,Bt cotton, 84
2014,HT cotton, 91
2014,HT soybeans, 94
2015,HT corn,  89
2015,Bt corn,  81
2015,Bt cotton, 84
2015,HT cotton, 89
2015,HT soybeans, 94
2016,HT corn,  89
2016,Bt corn,  79
2016,Bt cotton, 84
2016,HT cotton, 89
2016,HT soybeans, 94
2017,HT corn,  89
2017,Bt corn,  80
2017,Bt cotton, 85
2017,HT cotton, 91
2017,HT soybeans, 94
2018,HT corn,  90
2018,Bt corn,  82
2018,Bt cotton, 85
2018,HT cotton, 91
2018,HT soybeans, 94
2019,HT corn,  89
2019,Bt corn,  83
2019,Bt cotton, 92
2019,HT cotton, 95
2019,HT soybeans, 94
2020,HT corn,  89
2020,Bt corn,  82
2020,Bt cotton, 88
2020,HT cotton, 91
2020,HT soybeans, 94
2021,HT corn,  90
2021,Bt corn,  84
2021,Bt cotton, 91
2021,HT cotton, 94
2021,HT soybeans, 95
2022,HT corn,  90
2022,Bt corn,  84
2022,Bt cotton, 89
2022,HT cotton, 92
2022,HT soybeans, 95
2023,HT corn,  91
2023,Bt corn,  85
2023,Bt cotton, 89
2023,HT cotton, 94
2023,HT soybeans, 95
2024,HT corn,  90
2024,Bt corn,  86
2024,Bt cotton, 90
2024,HT cotton, 93
2024,HT soybeans, 96
