yield,block,crop,variety
2.14,B1,millet,V1
2.65,B1,millet,V2
2.04,B1,millet,V3
1.07,B1,millet,V4
1.74,B2,millet,V1
1.56,B2,millet,V2
3.88,B2,millet,V3
2.02,B2,millet,V4
2.38,B3,millet,V1
1.68,B3,millet,V2
1.94,B3,millet,V3
1.95,B3,millet,V4
1.64,B4,millet,V1
1.93,B4,millet,V2
1.47,B4,millet,V3
1.23,B4,millet,V4
1.12,B1,sorghum,V1
0.84,B1,sorghum,V2
2.68,B1,sorghum,V3
4.9,B1,sorghum,V4
0.69,B2,sorghum,V1
2.24,B2,sorghum,V2
2.08,B2,sorghum,V3
2.98,B2,sorghum,V4
1.57,B3,sorghum,V1
1.14,B3,sorghum,V2
2,B3,sorghum,V3
3.98,B3,sorghum,V4
1.48,B4,sorghum,V1
1.41,B4,sorghum,V2
2.36,B4,sorghum,V3
3.24,B4,sorghum,V4
